x,linear_u,linear_w,linear_phi,nonlinear_u,nonlinear_w,nonlinear_phi
8.2000000000e-02,-1.2121267823e-18,-4.5863681550e-02,4.6626726864e-02,1.1363563824e-03,-4.3071099323e-02,4.3418608269e-02
8.2666666667e-02,-1.2190428913e-18,-4.6514169682e-02,4.6892767947e-02,1.1374249062e-03,-4.3677502601e-02,4.3661793533e-02
8.3333333333e-02,-1.2259150946e-18,-4.7168143296e-02,4.7157120120e-02,1.1383486615e-03,-4.4287080677e-02,4.3903362497e-02
8.4000000000e-02,-1.2327434745e-18,-4.7825579927e-02,4.7419786539e-02,1.1391278780e-03,-4.4899812099e-02,4.4143318719e-02
8.4666666667e-02,-1.2395281128e-18,-4.8486457152e-02,4.7680770359e-02,1.1397627986e-03,-4.5515675466e-02,4.4381665750e-02
8.5333333333e-02,-1.2462690915e-18,-4.9150752590e-02,4.7940074731e-02,1.1402536790e-03,-4.6134649423e-02,4.4618407136e-02
8.6000000000e-02,-1.2529664925e-18,-4.9818443904e-02,4.8197702805e-02,1.1406007877e-03,-4.6756712662e-02,4.4853546421e-02
8.6666666667e-02,-1.2596203977e-18,-5.0489508795e-02,4.8453657730e-02,1.1408044057e-03,-4.7381843921e-02,4.5087087141e-02
8.7333333333e-02,-1.2662308888e-18,-5.1163925010e-02,4.8707942651e-02,1.1408648264e-03,-4.8010021988e-02,4.5319032830e-02
8.8000000000e-02,-1.2727980476e-18,-5.1841670334e-02,4.8960560712e-02,1.1407823559e-03,-4.8641225694e-02,4.5549387015e-02
8.8666666667e-02,-1.2793219557e-18,-5.2522722598e-02,4.9211515055e-02,1.1405573120e-03,-4.9275433920e-02,4.5778153219e-02
8.9333333333e-02,-1.2858026947e-18,-5.3207059671e-02,4.9460808821e-02,1.1401900249e-03,-4.9912625592e-02,4.6005334961e-02
9.0000000000e-02,-1.2922403463e-18,-5.3894659466e-02,4.9708445146e-02,1.1396808365e-03,-5.0552779684e-02,4.6230935754e-02
9.0666666667e-02,-1.2986349919e-18,-5.4585499938e-02,4.9954427166e-02,1.1390301005e-03,-5.1195875216e-02,4.6454959107e-02
9.1333333333e-02,-1.3049867131e-18,-5.5279559083e-02,5.0198758015e-02,1.1382381824e-03,-5.1841891254e-02,4.6677408523e-02
9.2000000000e-02,-1.3112955911e-18,-5.5976814938e-02,5.0441440825e-02,1.1373054588e-03,-5.2490806912e-02,4.6898287503e-02
9.2666666667e-02,-1.3175617074e-18,-5.6677245583e-02,5.0682478726e-02,1.1362323182e-03,-5.3142601349e-02,4.7117599540e-02
9.3333333333e-02,-1.3237851433e-18,-5.7380829139e-02,5.0921874844e-02,1.1350191598e-03,-5.3797253771e-02,4.7335348125e-02
9.4000000000e-02,-1.3299659801e-18,-5.8087543770e-02,5.1159632305e-02,1.1336663941e-03,-5.4454743432e-02,4.7551536742e-02
9.4666666667e-02,-1.3361042989e-18,-5.8797367678e-02,5.1395754234e-02,1.1321744427e-03,-5.5115049629e-02,4.7766168873e-02
9.5333333333e-02,-1.3422001808e-18,-5.9510279112e-02,5.1630243750e-02,1.1305437379e-03,-5.5778151708e-02,4.7979247992e-02
9.6000000000e-02,-1.3482537071e-18,-6.0226256357e-02,5.1863103975e-02,1.1287747225e-03,-5.6444029060e-02,4.8190777571e-02
9.6666666667e-02,-1.3542649586e-18,-6.0945277745e-02,5.2094338024e-02,1.1268678501e-03,-5.7112661122e-02,4.8400761076e-02
9.7333333333e-02,-1.3602340165e-18,-6.1667321644e-02,5.2323949015e-02,1.1248235846e-03,-5.7784027377e-02,4.8609201968e-02
9.8000000000e-02,-1.3661609616e-18,-6.2392366467e-02,5.2551940059e-02,1.1226424004e-03,-5.8458107355e-02,4.8816103706e-02
9.8666666667e-02,-1.3720458749e-18,-6.3120390669e-02,5.2778314269e-02,1.1203247818e-03,-5.9134880631e-02,4.9021469740e-02
9.9333333333e-02,-1.3778888371e-18,-6.3851372743e-02,5.3003074754e-02,1.1178712232e-03,-5.9814326826e-02,4.9225303520e-02
1.0000000000e-01,-1.3836899290e-18,-6.4585291227e-02,5.3226224621e-02,1.1152822291e-03,-6.0496425607e-02,4.9427608487e-02
1.0066666667e-01,-1.3894492315e-18,-6.5322124699e-02,5.3447766975e-02,1.1125583136e-03,-6.1181156687e-02,4.9628388081e-02
1.0133333333e-01,-1.3951668250e-18,-6.6061851777e-02,5.3667704920e-02,1.1097000005e-03,-6.1868499823e-02,4.9827645736e-02
1.0200000000e-01,-1.4008427904e-18,-6.6804451122e-02,5.3886041558e-02,1.1067078231e-03,-6.2558434820e-02,5.0025384880e-02
1.0266666667e-01,-1.4064772081e-18,-6.7549901437e-02,5.4102779987e-02,1.1035823243e-03,-6.3250941527e-02,5.0221608938e-02
1.0333333333e-01,-1.4120701586e-18,-6.8298181464e-02,5.4317923305e-02,1.1003240561e-03,-6.3945999838e-02,5.0416321330e-02
1.0400000000e-01,-1.4176217225e-18,-6.9049269987e-02,5.4531474607e-02,1.0969335796e-03,-6.4643589696e-02,5.0609525473e-02
1.0466666667e-01,-1.4231319801e-18,-6.9803145833e-02,5.4743436986e-02,1.0934114652e-03,-6.5343691084e-02,5.0801224776e-02
1.0533333333e-01,-1.4286010119e-18,-7.0559787868e-02,5.4953813535e-02,1.0897582921e-03,-6.6046284035e-02,5.0991422646e-02
1.0600000000e-01,-1.4340288980e-18,-7.1319174999e-02,5.5162607342e-02,1.0859746482e-03,-6.6751348623e-02,5.1180122485e-02
1.0666666667e-01,-1.4394157189e-18,-7.2081286177e-02,5.5369821495e-02,1.0820611302e-03,-6.7458864972e-02,5.1367327690e-02
1.0733333333e-01,-1.4447615546e-18,-7.2846100391e-02,5.5575459079e-02,1.0780183433e-03,-6.8168813247e-02,5.1553041654e-02
1.0800000000e-01,-1.4500664854e-18,-7.3613596673e-02,5.5779523177e-02,1.0738469013e-03,-6.8881173661e-02,5.1737267765e-02
1.0866666667e-01,-1.4553305913e-18,-7.4383754095e-02,5.5982016871e-02,1.0695474261e-03,-6.9595926469e-02,5.1920009407e-02
1.0933333333e-01,-1.4605539525e-18,-7.5156551770e-02,5.6182943241e-02,1.0651205478e-03,-7.0313051973e-02,5.2101269959e-02
1.1000000000e-01,-1.4657366489e-18,-7.5931968853e-02,5.6382305363e-02,1.0605669050e-03,-7.1032530521e-02,5.2281052796e-02
1.1066666667e-01,-1.4708787604e-18,-7.6709984539e-02,5.6580106314e-02,1.0558871437e-03,-7.1754342502e-02,5.2459361287e-02
1.1133333333e-01,-1.4759803670e-18,-7.7490578065e-02,5.6776349167e-02,1.0510819183e-03,-7.2478468354e-02,5.2636198799e-02
1.1200000000e-01,-1.4810415485e-18,-7.8273728707e-02,5.6971036994e-02,1.0461518905e-03,-7.3204888557e-02,5.2811568693e-02
1.1266666667e-01,-1.4860623848e-18,-7.9059415785e-02,5.7164172864e-02,1.0410977300e-03,-7.3933583637e-02,5.2985474325e-02
1.1333333333e-01,-1.4910429555e-18,-7.9847618656e-02,5.7355759844e-02,1.0359201137e-03,-7.4664534162e-02,5.3157919048e-02
1.1400000000e-01,-1.4959833404e-18,-8.0638316722e-02,5.7545801001e-02,1.0306197261e-03,-7.5397720749e-02,5.3328906210e-02
1.1466666667e-01,-1.5008836191e-18,-8.1431489422e-02,5.7734299398e-02,1.0251972591e-03,-7.6133124056e-02,5.3498439154e-02
1.1533333333e-01,-1.5057438711e-18,-8.2227116239e-02,5.7921258097e-02,1.0196534116e-03,-7.6870724787e-02,5.3666521219e-02
1.1600000000e-01,-1.5105641762e-18,-8.3025176694e-02,5.8106680158e-02,1.0139888896e-03,-7.7610503688e-02,5.3833155740e-02
1.1666666667e-01,-1.5153446136e-18,-8.3825650351e-02,5.8290568638e-02,1.0082044062e-03,-7.8352441554e-02,5.3998346046e-02
1.1733333333e-01,-1.5200852630e-18,-8.4628516813e-02,5.8472926595e-02,1.0023006812e-03,-7.9096519218e-02,5.4162095465e-02
1.1800000000e-01,-1.5247862036e-18,-8.5433755725e-02,5.8653757080e-02,9.9627844121e-04,-7.9842717563e-02,5.4324407316e-02
1.1866666667e-01,-1.5294475149e-18,-8.6241346772e-02,5.8833063147e-02,9.9013841956e-04,-8.0591017512e-02,5.4485284918e-02
1.1933333333e-01,-1.5340692760e-18,-8.7051269680e-02,5.9010847846e-02,9.8388135606e-04,-8.1341400035e-02,5.4644731582e-02
1.2000000000e-01,-1.5386515663e-18,-8.7863504215e-02,5.9187114225e-02,9.7750799696e-04,-8.2093846144e-02,5.4802750617e-02
1.2066666667e-01,-1.5431944650e-18,-8.8678030184e-02,5.9361865329e-02,9.7101909484e-04,-8.2848336895e-02,5.4959345326e-02
1.2133333333e-01,-1.5476980511e-18,-8.9494827434e-02,5.9535104204e-02,9.6441540850e-04,-8.3604853389e-02,5.5114519010e-02
1.2200000000e-01,-1.5521624038e-18,-9.0313875854e-02,5.9706833892e-02,9.5769770287e-04,-8.4363376771e-02,5.5268274964e-02
1.2266666667e-01,-1.5565876021e-18,-9.1135155373e-02,5.9877057432e-02,9.5086674891e-04,-8.5123888228e-02,5.5420616478e-02
1.2333333333e-01,-1.5609737250e-18,-9.1958645959e-02,6.0045777864e-02,9.4392332346e-04,-8.5886368992e-02,5.5571546839e-02
1.2400000000e-01,-1.5653208514e-18,-9.2784327622e-02,6.0212998224e-02,9.3686820920e-04,-8.6650800339e-02,5.5721069328e-02
1.2466666667e-01,-1.5696290603e-18,-9.3612180411e-02,6.0378721547e-02,9.2970219453e-04,-8.7417163587e-02,5.5869187225e-02
